"game_date","game","play","site","prop"
2026-05-08,"CON @ NYL","Rebekah Gardner","br","First Basket"
2026-05-08,"CON @ NYL","Rebekah Gardner","csr","First Basket"
2026-05-08,"CON @ NYL","Rebekah Gardner","dk","First Basket"
2026-05-08,"CON @ NYL","Rebekah Gardner","fd","First Basket"
2026-05-08,"GSV @ SEA","Lexie Brown","br","First Basket"
2026-05-08,"GSV @ SEA","Lexie Brown","csr","First Basket"
2026-05-08,"GSV @ SEA","Lexie Brown","dk","First Basket"
2026-05-08,"GSV @ SEA","Lexie Brown","fd","First Basket"
2026-05-08,"GSV @ SEA","Lexie Brown","mgm","First Basket"
2026-05-09,"CHI @ PDX","Rachel Banham","br","First Basket"
2026-05-09,"CHI @ PDX","Haley Jones","br","First Basket"
2026-05-09,"CHI @ PDX","Haley Jones","dk","First Basket"
2026-05-09,"PHX @ LVA","Kiana Williams","fd","First Basket"
2026-05-09,"CHI @ PDX","Rachel Banham","fd","First Basket"
2026-05-12,"MIN @ PHX","Jovana Nogic","br","First Basket"
2026-05-12,"MIN @ PHX","Jovana Nogic","dk","First Basket"
2026-05-12,"MIN @ PHX","Jovana Nogic","fd","First Basket"
2026-05-12,"MIN @ PHX","Jovana Nogic","csr","First Basket"
2026-05-13,"CHI @ GSV","Natasha Cloud","fd","First Basket"
2026-05-13,"CHI @ GSV","Natasha Cloud","dk","First Basket"
2026-05-13,"CHI @ GSV","Natasha Cloud","csr","First Basket"
2026-05-15,"LVA @ CON","Saniya Rivers","dk","First Basket"
2026-05-15,"WAS @ IND","Cassandre Prosper","dk","First Basket"
2026-05-15,"WAS @ IND","Cassandre Prosper","fd","First Basket"
2026-05-15,"CHI @ PHX","Valeriane Ayayi","dk","First Basket"
2026-05-15,"CHI @ PHX","Valeriane Ayayi","fd","First Basket"
2026-05-15,"CHI @ PHX","Valeriane Ayayi","br","First Basket"
2026-05-15,"WAS @ IND","Cassandre Prosper","csr","First Basket"
2026-05-15,"CHI @ PHX","Valeriane Ayayi","csr","First Basket"
2026-05-15,"WAS @ IND","Cassandre Prosper","mgm","First Basket"
2026-05-15,"CHI @ PHX","Valeriane Ayayi","mgm","First Basket"
2026-05-15,"LVA @ CON","Saniya Rivers","fd","First Basket"
2026-05-15,"LVA @ CON","Charlisse Leger-Walker","fd","First Basket"
2026-05-17,"LVA @ ATL","Sika Kone","dk","First Basket"
2026-05-17,"LVA @ ATL","Sika Kone","fd","First Basket"
2026-05-17,"TOR @ LAS","Nikolina Milic","br","First Basket"
2026-05-17,"TOR @ LAS","Nikolina Milic","dk","First Basket"
2026-05-17,"TOR @ LAS","Nikolina Milic","fd","First Basket"
2026-05-17,"CHI @ MIN","Skylar Diggins","dk","First Basket"
2026-05-17,"CHI @ MIN","Skylar Diggins","fd","First Basket"
2026-05-17,"LVA @ ATL","Sika Kone","csr","First Basket"
2026-05-17,"TOR @ LAS","Nikolina Milic","csr","First Basket"
2026-05-17,"CHI @ MIN","Skylar Diggins","csr","First Basket"
2026-05-17,"TOR @ LAS","Nikolina Milic","mgm","First Basket"
2026-05-17,"SEA @ IND","Sophie Cunningham","fd","First Basket"
2026-05-20,"CON @ SEA","Kennedy Burke","dk","First Basket"
2026-05-20,"CON @ SEA","Kennedy Burke","fd","First Basket"
2026-05-20,"CON @ SEA","Kennedy Burke","br","First Basket"
2026-05-21,"GSV @ NYL","Betnijah Laney-Hamilton","fd","First Basket"
